20:27:36 | INFO     | src.stats_tests              | Conversion test: control=0.9803 treatment=0.9792 abs_lift=-0.0012 p=0.89568 significant=False
20:27:36 | INFO     | src.stats_tests              | Conversion test: control=0.9762 treatment=0.9799 abs_lift=+0.0037 p=0.39001 significant=False
20:27:36 | INFO     | src.stats_tests              | Conversion test: control=0.9821 treatment=0.9714 abs_lift=-0.0107 p=0.88977 significant=False
20:27:36 | INFO     | src.stats_tests              | Conversion test: control=0.9733 treatment=0.9791 abs_lift=+0.0058 p=0.10925 significant=False
20:27:36 | INFO     | src.stats_tests              | Conversion test: control=0.9773 treatment=0.9592 abs_lift=-0.0181 p=0.36049 significant=False
20:27:36 | INFO     | src.stats_tests              | Conversion test: control=0.9677 treatment=0.9685 abs_lift=+0.0007 p=1.00000 significant=False
20:27:36 | INFO     | src.stats_tests              | Conversion test: control=0.9737 treatment=0.9861 abs_lift=+0.0124 p=0.55397 significant=False
20:27:36 | INFO     | src.stats_tests              | Conversion test: control=0.9846 treatment=0.9643 abs_lift=-0.0203 p=0.89592 significant=False
20:27:36 | INFO     | src.stats_tests              | Conversion test: control=1.0000 treatment=0.9610 abs_lift=-0.0390 p=0.40668 significant=False
20:27:36 | INFO     | src.stats_tests              | Conversion test: control=0.9812 treatment=0.9738 abs_lift=-0.0074 p=0.35763 significant=False
20:27:36 | INFO     | src.stats_tests              | Conversion test: control=0.9684 treatment=0.9773 abs_lift=+0.0090 p=0.65631 significant=False
20:27:36 | INFO     | src.stats_tests              | Conversion test: control=0.9884 treatment=0.9822 abs_lift=-0.0062 p=0.57397 significant=False
20:27:36 | INFO     | src.stats_tests              | Conversion test: control=0.9920 treatment=0.9907 abs_lift=-0.0013 p=1.00000 significant=False
20:27:36 | INFO     | src.stats_tests              | Conversion test: control=0.9920 treatment=0.9776 abs_lift=-0.0144 p=0.66420 significant=False
20:27:36 | INFO     | src.stats_tests              | Conversion test: control=0.9890 treatment=0.9701 abs_lift=-0.0188 p=0.11897 significant=False
20:27:36 | INFO     | src.stats_tests              | Conversion test: control=0.9847 treatment=0.9720 abs_lift=-0.0127 p=0.76066 significant=False
20:27:36 | INFO     | src.stats_tests              | Conversion test: control=0.9870 treatment=0.9619 abs_lift=-0.0251 p=0.57217 significant=False
20:27:36 | INFO     | src.stats_tests              | Conversion test: control=0.9286 treatment=1.0000 abs_lift=+0.0714 p=0.76583 significant=False
20:27:36 | INFO     | src.stats_tests              | Conversion test: control=0.9948 treatment=0.9781 abs_lift=-0.0166 p=0.33970 significant=False
20:27:36 | INFO     | src.stats_tests              | Conversion test: control=0.9915 treatment=0.9826 abs_lift=-0.0088 p=0.98801 significant=False
20:27:36 | INFO     | src.stats_tests              | Conversion test: control=0.9606 treatment=0.9619 abs_lift=+0.0013 p=1.00000 significant=False
20:27:36 | INFO     | src.stats_tests              | Conversion test: control=0.9778 treatment=0.9184 abs_lift=-0.0594 p=0.41098 significant=False
20:27:36 | INFO     | src.stats_tests              | Conversion test: control=0.9405 treatment=0.9615 abs_lift=+0.0211 p=0.79845 significant=False
20:27:36 | INFO     | src.stats_tests              | Conversion test: control=0.9744 treatment=0.9800 abs_lift=+0.0056 p=1.00000 significant=False
20:27:36 | INFO     | src.stats_tests              | Conversion test: control=0.9489 treatment=0.9809 abs_lift=+0.0320 p=0.23528 significant=False
20:27:36 | INFO     | src.stats_tests              | Conversion test: control=0.9774 treatment=0.9646 abs_lift=-0.0128 p=0.82669 significant=False
20:27:36 | INFO     | src.stats_tests              | Conversion test: control=0.9908 treatment=0.9690 abs_lift=-0.0218 p=0.47362 significant=False
20:27:36 | INFO     | src.stats_tests              | Conversion test: control=0.9957 treatment=0.9791 abs_lift=-0.0166 p=0.22759 significant=False
20:27:36 | INFO     | src.stats_tests              | Conversion test: control=0.9888 treatment=1.0000 abs_lift=+0.0112 p=0.50902 significant=False
20:27:36 | INFO     | src.stats_tests              | Conversion test: control=0.9590 treatment=0.9820 abs_lift=+0.0230 p=0.52124 significant=False
20:27:36 | INFO     | src.stats_tests              | Conversion test: control=0.9322 treatment=0.9623 abs_lift=+0.0301 p=0.77552 significant=False
20:27:36 | INFO     | src.stats_tests              | Conversion test: control=0.9722 treatment=0.9655 abs_lift=-0.0067 p=1.00000 significant=False
20:27:36 | INFO     | src.stats_tests              | Conversion test: control=0.9695 treatment=0.9955 abs_lift=+0.0259 p=0.09405 significant=False
20:27:36 | INFO     | src.stats_tests              | Conversion test: control=0.9560 treatment=0.9720 abs_lift=+0.0159 p=0.82712 significant=False
20:27:36 | INFO     | src.stats_tests              | Conversion test: control=1.0000 treatment=0.9608 abs_lift=-0.0392 p=0.17732 significant=False
20:27:36 | INFO     | src.stats_tests              | Conversion test: control=0.9712 treatment=0.9917 abs_lift=+0.0205 p=0.51548 significant=False
20:27:36 | INFO     | src.stats_tests              | Conversion test: control=0.9540 treatment=1.0000 abs_lift=+0.0460 p=0.11291 significant=False
20:27:36 | INFO     | src.stats_tests              | Conversion test: control=0.9459 treatment=0.9737 abs_lift=+0.0277 p=0.98119 significant=False
20:27:36 | INFO     | src.stats_tests              | Conversion test: control=0.9688 treatment=0.9259 abs_lift=-0.0428 p=0.87981 significant=False
20:27:36 | INFO     | src.stats_tests              | Conversion test: control=1.0000 treatment=0.9000 abs_lift=-0.1000 p=0.49085 significant=False
20:27:36 | INFO     | src.stats_tests              | Conversion test: control=1.0000 treatment=0.9583 abs_lift=-0.0417 p=1.00000 significant=False
20:27:36 | INFO     | src.stats_tests              | Conversion test: control=0.9688 treatment=1.0000 abs_lift=+0.0312 p=0.40237 significant=False
20:27:36 | INFO     | src.stats_tests              | Conversion test: control=0.9565 treatment=0.9333 abs_lift=-0.0232 p=1.00000 significant=False
20:27:36 | INFO     | src.stats_tests              | Continuous test [review_score]: control=4.39 treatment=4.37 diff=-0.02 p=0.02523 significant=True
20:27:36 | INFO     | src.stats_tests              | Continuous test [review_score]: control=3.93 treatment=3.93 diff=+0.00 p=0.83393 significant=False
20:27:36 | INFO     | src.segment_analysis         | Segment analysis complete: 68 segment cells evaluated
20:27:36 | INFO     | pipeline                     | Saved table: 06_segment_analysis.csv
20:27:36 | INFO     | pipeline                     | Saved table: 07_ship_decision_checklist.csv
20:27:36 | INFO     | src.visualization            | Saved figure: 00_setup_validation.png
20:27:36 | INFO     | src.visualization            | Saved figure: 01_conversion_comparison.png
20:27:37 | INFO     | src.visualization            | Saved figure: 02_aov_distribution.png
20:27:37 | INFO     | src.visualization            | Saved figure: 03_guardrails.png
20:27:37 | INFO     | src.visualization            | Saved figure: 04_power_curve.png
20:27:37 | INFO     | src.visualization            | Saved figure: 05_effect_size_forest.png
20:27:38 | INFO     | src.visualization            | Saved figure: 06_segment_lift.png
20:27:38 | INFO     | src.visualization            | Saved figure: 07_cuped_variance_reduction.png
20:27:38 | INFO     | src.visualization            | Saved figure: 08_ship_decision.png
20:27:39 | INFO     | pipeline                     | Saved full analysis table: full_analysis_table.csv (99,441 rows)
20:27:39 | INFO     | pipeline                     | ======================================================================
20:27:39 | INFO     | pipeline                     | PIPELINE COMPLETE. Report: /Users/nishtha/Documents/olist_ab_testing/outputs/report.md
20:27:39 | INFO     | pipeline                     | ======================================================================
